Time,Car,State,Speed,TargetSpeed,SplineProgress,Lap,LateralOffset,Banding,Event
0.50,AiRacer,Race,0.0,0.0,0.5426,0,-0.50,1.000,tick
0.50,AiRacer (1),Race,0.0,0.0,0.5409,0,0.50,1.000,tick
0.50,AiRacer (2),Race,0.0,0.0,0.5392,0,-0.50,1.000,tick
0.50,AiRacer (3),Race,0.0,0.0,0.5375,0,0.50,1.000,tick
0.50,AiRacer (4),Race,0.0,0.0,0.5358,0,-0.50,1.000,tick
0.50,AiRacer (5),Race,0.0,0.0,0.5341,0,0.50,1.000,tick
0.50,AiRacer (6),Race,0.0,0.0,0.5324,0,-0.50,1.000,tick
0.50,AiRacer (7),Race,0.0,0.0,0.5307,0,0.50,1.000,tick
1.01,AiRacer,Race,0.0,0.0,0.5426,0,-0.50,1.000,tick
1.01,AiRacer (1),Race,0.0,0.0,0.5409,0,0.50,1.000,tick
1.01,AiRacer (2),Race,0.0,0.0,0.5392,0,-0.50,1.000,tick
1.01,AiRacer (3),Race,0.0,0.0,0.5375,0,0.50,1.000,tick
1.01,AiRacer (4),Race,0.0,0.0,0.5358,0,-0.50,1.000,tick
1.01,AiRacer (5),Race,0.0,0.0,0.5341,0,0.50,1.000,tick
1.01,AiRacer (6),Race,0.0,0.0,0.5324,0,-0.50,1.000,tick
1.01,AiRacer (7),Race,0.0,0.0,0.5307,0,0.50,1.000,tick
1.51,AiRacer,Race,0.0,0.0,0.5426,0,-0.50,1.000,tick
1.51,AiRacer (1),Race,0.0,0.0,0.5409,0,0.50,1.000,tick
1.51,AiRacer (2),Race,0.0,0.0,0.5392,0,-0.50,1.000,tick
1.51,AiRacer (3),Race,0.0,0.0,0.5375,0,0.50,1.000,tick
1.51,AiRacer (4),Race,0.0,0.0,0.5358,0,-0.50,1.000,tick
1.51,AiRacer (5),Race,0.0,0.0,0.5341,0,0.50,1.000,tick
1.51,AiRacer (6),Race,0.0,0.0,0.5324,0,-0.50,1.000,tick
1.51,AiRacer (7),Race,0.0,0.0,0.5307,0,0.50,1.000,tick
2.02,AiRacer,Race,0.0,0.0,0.5426,0,-0.50,1.000,tick
2.02,AiRacer (1),Race,0.0,0.0,0.5409,0,0.50,1.000,tick
2.02,AiRacer (2),Race,0.0,0.0,0.5392,0,-0.50,1.000,tick
2.02,AiRacer (3),Race,0.0,0.0,0.5375,0,0.50,1.000,tick
2.02,AiRacer (4),Race,0.0,0.0,0.5358,0,-0.50,1.000,tick
2.02,AiRacer (5),Race,0.0,0.0,0.5341,0,0.50,1.000,tick
2.02,AiRacer (6),Race,0.0,0.0,0.5324,0,-0.50,1.000,tick
2.02,AiRacer (7),Race,0.0,0.0,0.5307,0,0.50,1.000,tick
2.53,AiRacer,Race,0.0,0.0,0.5426,0,-0.50,1.000,tick
2.53,AiRacer (1),Race,0.0,0.0,0.5409,0,0.50,1.000,tick
2.53,AiRacer (2),Race,0.0,0.0,0.5392,0,-0.50,1.000,tick
2.53,AiRacer (3),Race,0.0,0.0,0.5375,0,0.50,1.000,tick
2.53,AiRacer (4),Race,0.0,0.0,0.5358,0,-0.50,1.000,tick
2.53,AiRacer (5),Race,0.0,0.0,0.5341,0,0.50,1.000,tick
2.53,AiRacer (6),Race,0.0,0.0,0.5324,0,-0.50,1.000,tick
2.53,AiRacer (7),Race,0.0,0.0,0.5307,0,0.50,1.000,tick
3.03,AiRacer,Race,0.0,0.0,0.5426,0,-0.50,1.000,tick
3.03,AiRacer (1),Race,0.0,0.0,0.5409,0,0.50,1.000,tick
3.03,AiRacer (2),Race,0.0,0.0,0.5392,0,-0.50,1.000,tick
3.03,AiRacer (3),Race,0.0,0.0,0.5375,0,0.50,1.000,tick
3.03,AiRacer (4),Race,0.0,0.0,0.5358,0,-0.50,1.000,tick
3.03,AiRacer (5),Race,0.0,0.0,0.5341,0,0.50,1.000,tick
3.03,AiRacer (6),Race,0.0,0.0,0.5324,0,-0.50,1.000,tick
3.03,AiRacer (7),Race,0.0,0.0,0.5307,0,0.50,1.000,tick
3.54,AiRacer,Race,0.0,0.0,0.5426,0,-0.50,1.000,tick
3.54,AiRacer (1),Race,0.0,0.0,0.5409,0,0.50,1.000,tick
3.54,AiRacer (2),Race,0.0,0.0,0.5392,0,-0.50,1.000,tick
3.54,AiRacer (3),Race,0.0,0.0,0.5375,0,0.50,1.000,tick
3.54,AiRacer (4),Race,0.0,0.0,0.5358,0,-0.50,1.000,tick
3.54,AiRacer (5),Race,0.0,0.0,0.5341,0,0.50,1.000,tick
3.54,AiRacer (6),Race,0.0,0.0,0.5324,0,-0.50,1.000,tick
